Date,Open,High,Low,Close,Volume
2021-08-12,1486.96,1493.69,1477.06,1477.06,189465032.0
2021-08-13,1477.41,1484.67,1463.48,1484.25,220178348.0
2021-08-16,1490.85,1504.03,1487.52,1500.77,272164949.0
2021-08-17,1500.77,1512.27,1488.74,1494.12,225511196.0
2021-08-18,1494.49,1500.17,1484.26,1489.54,214040808.0
2021-08-19,1489.54,1505.01,1479.6,1505.01,249846740.0
2021-08-20,1505.01,1505.01,1436.24,1450.45,368168580.0
2021-08-23,1450.45,1450.45,1412.0,1412.0,270550904.0
2021-08-24,1412.0,1423.46,1406.94,1418.26,213055268.0
2021-08-25,1418.26,1430.58,1411.07,1428.51,160864971.0
2021-08-26,1432.02,1433.67,1408.08,1412.45,158318796.0
2021-08-27,1412.45,1418.57,1391.88,1418.57,214454768.0
2021-08-30,1418.57,1434.25,1418.57,1431.05,164217660.0
2021-08-31,1431.05,1437.38,1425.71,1428.66,161592796.0
2021-09-01,1425.07,1434.73,1423.08,1426.94,201112808.0
2021-09-06,1433.71,1441.92,1429.55,1441.54,213878616.0
2021-09-07,1446.18,1454.82,1441.69,1444.1,212584700.0
2021-09-08,1448.39,1448.44,1431.38,1433.71,158936864.0
2021-09-09,1433.71,1449.16,1431.55,1447.28,177520958.0
2021-09-10,1447.28,1453.81,1447.28,1448.33,161438340.0
2021-09-13,1448.33,1454.72,1444.71,1444.99,171374792.0
2021-09-14,1444.99,1448.71,1436.98,1438.16,162344904.0
2021-09-15,1438.16,1447.64,1432.76,1444.85,141575128.0
2021-09-16,1452.9,1454.23,1442.77,1448.98,143342396.0
2021-09-17,1448.98,1459.94,1448.98,1455.59,213181800.0
2021-09-20,1467.39,1474.66,1454.95,1458.66,196984800.0
2021-09-21,1445.42,1455.71,1433.77,1446.22,177992892.0
2021-09-22,1446.22,1454.19,1440.02,1453.22,129995104.0
2021-09-23,1453.22,1466.0,1453.02,1458.23,147418308.0
2021-09-24,1462.2,1464.12,1456.89,1459.94,152621720.0
2021-09-27,1459.94,1464.5,1439.2,1439.2,170282740.0
2021-09-28,1439.2,1454.79,1430.89,1451.12,165439248.0
2021-09-29,1451.12,1453.66,1440.55,1450.52,178752956.0
2021-09-30,1450.52,1461.94,1450.52,1453.76,130483476.0
2021-10-01,1453.76,1453.76,1438.52,1441.83,231560479.0
2021-10-04,1441.83,1446.78,1433.05,1443.61,227032560.0
2021-10-05,1443.61,1456.37,1443.61,1456.21,209505344.0
2021-10-06,1456.21,1461.72,1453.78,1461.72,171672480.0
2021-10-07,1461.72,1470.64,1460.87,1462.74,153795296.0
2021-10-08,1462.74,1476.54,1462.74,1476.54,142275404.0
2021-10-11,1481.2,1511.21,1480.31,1510.27,221111452.0
2021-10-12,1510.27,1517.21,1504.24,1509.57,174277580.0
2021-10-13,1512.7,1519.11,1502.19,1505.55,141813052.0
2021-10-14,1505.55,1511.14,1498.21,1503.38,165028892.0
2021-10-15,1503.38,1512.61,1499.7,1504.84,160560292.0
2021-10-18,1504.84,1517.7,1504.84,1510.49,172875500.0
